                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3295,                0.62483,                 1.1101,                0.92407,                 0.8911,                0.94482,                0.57716,                 1.2694,                0.51595,                 1.1303,               0.006634,               0.006634,               0.006634
                     37,                 1.3349,                0.62896,                 1.1131,                0.92354,                0.89253,                0.94457,                0.57806,                 1.2685,                0.51489,                 1.1304,               0.006535,               0.006535,               0.006535
                     38,                 1.3256,                0.62741,                 1.1065,                0.92479,                0.89248,                0.94496,                 0.5786,                 1.2678,                0.51431,                 1.1269,               0.006436,               0.006436,               0.006436
                     39,                 1.3331,                0.62208,                 1.1064,                0.92417,                 0.8931,                0.94477,                0.57926,                 1.2649,                0.51097,                 1.1238,               0.006337,               0.006337,               0.006337
                     40,                  1.333,                0.61704,                  1.108,                0.92424,                0.89465,                0.94521,                0.58032,                 1.2633,                0.51108,                 1.1231,               0.006238,               0.006238,               0.006238
                     41,                  1.325,                  0.615,                 1.1036,                0.92633,                0.89276,                 0.9451,                  0.581,                 1.2628,                0.50988,                 1.1219,               0.006139,               0.006139,               0.006139
                     42,                  1.324,                  0.612,                  1.104,                0.92552,                0.89491,                0.94566,                0.58082,                 1.2629,                0.50863,                 1.1222,                0.00604,                0.00604,                0.00604
                     43,                 1.3244,                0.61114,                  1.101,                0.92713,                0.89412,                0.94606,                0.58143,                  1.262,                0.50707,                 1.1204,               0.005941,               0.005941,               0.005941
                     44,                 1.3275,                0.61066,                 1.1026,                0.92702,                0.89402,                0.94594,                0.58124,                 1.2622,                 0.5064,                 1.1196,               0.005842,               0.005842,               0.005842
                     45,                 1.3174,                0.60857,                 1.1005,                0.92606,                0.89565,                0.94637,                0.58153,                  1.261,                0.50565,                 1.1195,               0.005743,               0.005743,               0.005743
                     46,                 1.3152,                0.60697,                 1.1023,                0.92614,                 0.8962,                0.94653,                0.58247,                 1.2604,                0.50404,                 1.1184,               0.005644,               0.005644,               0.005644
                     47,                 1.3188,                0.60885,                 1.1006,                0.92481,                 0.8967,                0.94706,                0.58315,                 1.2598,                0.50309,                 1.1178,               0.005545,               0.005545,               0.005545
                     48,                 1.3166,                0.60647,                 1.0976,                0.92547,                 0.8963,                0.94667,                0.58327,                 1.2593,                0.50272,                 1.1164,               0.005446,               0.005446,               0.005446
                     49,                 1.3231,                  0.606,                 1.0948,                0.92574,                0.89688,                0.94756,                0.58394,                 1.2594,                0.50209,                 1.1159,               0.005347,               0.005347,               0.005347
                     50,                 1.3068,                0.59898,                  1.097,                0.92694,                0.89703,                0.94778,                0.58453,                 1.2585,                0.50086,                 1.1165,               0.005248,               0.005248,               0.005248
                     51,                 1.3115,                0.60075,                 1.0955,                 0.9273,                0.89796,                0.94804,                0.58451,                 1.2575,                0.49995,                 1.1158,               0.005149,               0.005149,               0.005149
                     52,                 1.3085,                0.60221,                 1.0987,                0.92643,                 0.8975,                0.94802,                 0.5846,                 1.2572,                0.49913,                 1.1154,                0.00505,                0.00505,                0.00505
                     53,                 1.3138,                0.59877,                 1.0915,                0.92755,                0.89724,                0.94845,                0.58508,                 1.2571,                0.49807,                  1.115,               0.004951,               0.004951,               0.004951
                     54,                 1.3012,                0.59423,                 1.0932,                0.92577,                0.89932,                0.94821,                0.58504,                 1.2561,                0.49725,                 1.1143,               0.004852,               0.004852,               0.004852
                     55,                 1.3038,                0.59834,                 1.0943,                0.92674,                0.89903,                 0.9486,                0.58524,                 1.2561,                0.49657,                 1.1148,               0.004753,               0.004753,               0.004753
                     56,                  1.308,                0.59424,                 1.0908,                0.92661,                0.89865,                0.94843,                0.58549,                 1.2555,                0.49589,                 1.1147,               0.004654,               0.004654,               0.004654
                     57,                 1.3035,                0.59301,                 1.0927,                0.92681,                0.89894,                0.94859,                0.58575,                  1.255,                0.49539,                 1.1144,               0.004555,               0.004555,               0.004555
                     58,                 1.2921,                0.58351,                 1.0947,                0.92669,                0.89927,                0.94867,                0.58619,                 1.2547,                0.49536,                 1.1143,               0.004456,               0.004456,               0.004456
                     59,                 1.2955,                0.58554,                 1.0878,                0.92608,                0.90076,                 0.9491,                0.58654,                 1.2544,                 0.4949,                 1.1144,               0.004357,               0.004357,               0.004357
                     60,                 1.2984,                0.58857,                 1.0933,                0.92732,                0.89967,                0.94911,                0.58635,                 1.2542,                0.49422,                 1.1145,               0.004258,               0.004258,               0.004258
                     61,                 1.2921,                0.58391,                  1.088,                0.92698,                0.90028,                0.94924,                0.58698,                 1.2538,                0.49386,                 1.1143,               0.004159,               0.004159,               0.004159
                     62,                 1.2896,                0.58364,                 1.0889,                0.92761,                0.90045,                0.94946,                 0.5872,                 1.2534,                0.49358,                 1.1141,                0.00406,                0.00406,                0.00406
                     63,                  1.287,                0.57973,                 1.0896,                 0.9278,                 0.8997,                0.94927,                0.58754,                  1.253,                0.49346,                 1.1139,               0.003961,               0.003961,               0.003961
                     64,                 1.2974,                0.58442,                 1.0854,                0.92775,                0.90006,                 0.9496,                0.58762,                 1.2528,                0.49282,                 1.1136,               0.003862,               0.003862,               0.003862
                     65,                 1.2862,                0.58039,                 1.0855,                0.92767,                0.90015,                0.94963,                0.58777,                 1.2524,                0.49252,                 1.1135,               0.003763,               0.003763,               0.003763
                     66,                 1.2841,                0.58062,                 1.0867,                0.92839,                0.89951,                0.94962,                0.58791,                 1.2522,                0.49214,                 1.1131,               0.003664,               0.003664,               0.003664
                     67,                 1.2782,                0.57627,                 1.0821,                0.92755,                0.90039,                0.94981,                0.58814,                 1.2517,                0.49155,                 1.1126,               0.003565,               0.003565,               0.003565
                     68,                 1.2765,                0.57358,                 1.0817,                0.92747,                0.90087,                0.94985,                0.58838,                 1.2517,                0.49124,                 1.1126,               0.003466,               0.003466,               0.003466
                     69,                 1.2804,                0.57296,                 1.0759,                0.92762,                0.90095,                0.94996,                0.58854,                 1.2516,                0.49101,                 1.1125,               0.003367,               0.003367,               0.003367
